,countryCode,elevation_DEM,genus,lat,lon,species,bio1,bio3,bio4,bio7,bio12,bio15,.geo,geometry
19719,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19720,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19721,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19722,CO,3422,Espeletia,0.8439160880720067,-77.39980524191333,Espeletia pycnophylla,0.8387499809265136,86.16838073730469,5.157188796997071,0.9700000762939454,1512.0,21.247909545898438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.3997370239227,0.8439618144188756]}",POINT (-77.39980524191333 0.8439160880720067)
19723,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19724,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19725,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19726,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19727,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19728,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19729,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19730,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19731,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19732,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19733,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
19734,CO,3442,Espeletia,1.5750838060076342,-77.58274878083304,Espeletia pycnophylla,0.9070833206176758,90.1268081665039,2.919047164916992,0.9200000762939453,1528.0,31.812711715698242,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.58272384729786,1.5751006241637526]}",POINT (-77.58274878083304 1.5750838060076342)
